Date,Voltage (V),Temperature (°C),Flow Speed (m/s)
2025-05-07,2097.6270078546495,41.40393540835759,6.538384811339422
2025-04-15,2430.378732744839,38.77203026924641,8.51699004709654
2025-04-13,2205.526752143288,49.767476761184525,7.844761011518784
2025-04-23,2089.766365993794,32.04089621496056,6.141995179141981
2025-05-07,1847.3095986778094,34.177535121896696,6.969605595369162
2025-04-16,2291.788226133312,33.22619035769993,8.487833073569227
2025-04-11,1875.1744225253851,43.06216650930797,7.0761563833421395
2025-04-30,2783.5460015641597,35.06583205079564,8.961992227802217
2025-05-05,2927.3255210020584,39.326215457126125,9.033124561393427
2025-05-01,1766.8830376515555,34.88851184003205,6.525645213220876
2025-04-11,2583.4500761653294,33.17939167291039,8.212349588467607
2025-04-12,2057.789839505809,32.207502823286106,7.428742110174364
2025-04-17,2136.0891221878646,43.126591789305465,7.374936691388133
2025-05-06,2851.193276585322,32.76365902697228,9.69717252853727
2025-04-23,1142.072116395774,33.93164723360107,4.283032492446544
2025-04-18,1174.2585994030815,37.37450341321928,4.623552450569604
2025-05-08,1040.4367948806514,46.4198645969587,4.054957686941539
2025-05-04,2665.239691095876,31.942025515861225,9.527494830557771
2025-04-18,2556.313501899701,46.758898149976076,8.667574515050434
2025-05-01,2740.0242964936383,31.921968157879263,9.059506934360853
2025-05-07,2957.236684465528,49.529189300267916,10.803869187930069
2025-04-27,2598.317128433447,39.373024032954035,7.908532335388199
2025-04-09,1922.9587245058638,49.535221763806746,6.12433810955086
2025-04-26,2561.0583525729107,42.09691039490092,9.009811619695757
2025-04-28,1236.5488517378665,44.78527158796604,4.01879028441584
2025-05-01,2279.842042655048,30.783755845086414,8.427011837691518
2025-04-26,1286.7065748180928,35.65613925152819,4.366433019104969
2025-04-12,2889.3378340991676,32.40393122426338,8.942364721062392
2025-04-12,2043.6966435001434,35.9228039504429,7.811017022749481
2025-04-08,1829.3238799810472,32.374554379084884,6.875720123242052
2025-04-11,1529.111224209254,36.359663587879524,6.2483064245986375
2025-04-17,2548.467378868433,38.285259890293396,8.864129663548859
2025-04-26,1912.3006644330972,31.282949926975686,5.931948149311454
2025-04-25,2136.867897737297,43.849442387400394,8.242625017509415
2025-04-29,1037.5796008727102,41.332029084131506,3.8053776988250707
2025-05-01,2235.270994151754,35.307789818788905,7.8131969767292375
2025-04-18,2224.191445444843,40.464961069333995,7.955499541608083
2025-04-16,2233.867993749514,31.878810215168834,7.261675139006503
2025-04-25,2887.4961570292485,41.518929911123585,9.799906754483258
2025-04-20,2363.640598206967,48.58592395152428,8.52374360943465
2025-05-06,1719.0158011475721,36.37137904902647,6.0726877500010605
2025-04-17,1874.0639075986828,43.348207599273636,5.939455479489424
2025-04-23,2395.2623918545296,32.63595724808784,7.987625407628373
2025-05-08,1120.4509432585396,44.32654408237131,4.911076659766561
2025-04-30,2333.5334308913352,35.788121858944024,7.369078799987203
2025-04-27,2341.2757392363187,33.66382724014234,7.622286492347968
2025-05-06,1420.7651221476817,41.730258696201666,4.87932376450626
2025-04-25,1257.8525953097067,30.402150923749872,5.306232668643788
2025-04-29,1630.8567018483677,46.57880058434726,6.160293495738267
2025-05-01,1727.4215418852452,30.09390952385094,5.98787373425331
